teamA;teamB;score
Rapid Wien;Bayern Munich;2
Club Brugge;Juventus;2
Juventus;Rapid Wien;0
Bayern Munich;Club Brugge;0
Bayern Munich;Juventus;0
Rapid Wien;Club Brugge;2
Juventus;Bayern Munich;0
Club Brugge;Rapid Wien;0
Bayern Munich;Rapid Wien;0
Juventus;Club Brugge;0
Rapid Wien;Juventus;2
Club Brugge;Bayern Munich;1
Sparta Prague;Ajax;1
Arsenal;Thun;0
Thun;Sparta Prague;0
Ajax;Arsenal;2
Ajax;Thun;0
Sparta Prague;Arsenal;2
Thun;Ajax;2
Arsenal;Sparta Prague;0
Ajax;Sparta Prague;0
Thun;Arsenal;2
Sparta Prague;Thun;1
Arsenal;Ajax;1
Udinese;Panathinaikos;0
Werder Bremen;Barcelona;2
Barcelona;Udinese;0
Panathinaikos;Werder Bremen;0
Panathinaikos;Barcelona;1
Udinese;Werder Bremen;1
Barcelona;Panathinaikos;0
Werder Bremen;Udinese;0
Panathinaikos;Udinese;2
Barcelona;Werder Bremen;0
Udinese;Barcelona;2
Werder Bremen;Panathinaikos;0
Villarreal;Manchester United;1
Benfica;Lille;0
Lille;Villarreal;1
Manchester United;Benfica;0
Manchester United;Lille;1
Villarreal;Benfica;1
Lille;Manchester United;0
Benfica;Villarreal;2
Manchester United;Villarreal;1
Lille;Benfica;1
Villarreal;Lille;0
Benfica;Manchester United;0
Milan;Fenerbahe;0
PSV Eindhoven;Schalke 04;0
Schalke 04;Milan;1
Fenerbahe;PSV Eindhoven;0
Fenerbahe;Schalke 04;1
Milan;PSV Eindhoven;1
Schalke 04;Fenerbahe;0
PSV Eindhoven;Milan;0
Fenerbahe;Milan;2
Schalke 04;PSV Eindhoven;0
Milan;Schalke 04;0
PSV Eindhoven;Fenerbahe;0
Lyon;Real Madrid;0
Olympiacos;Rosenborg;2
Rosenborg;Lyon;2
Real Madrid;Olympiacos;0
Real Madrid;Rosenborg;0
Lyon;Olympiacos;0
Rosenborg;Real Madrid;2
Olympiacos;Lyon;2
Real Madrid;Lyon;1
Rosenborg;Olympiacos;1
Lyon;Rosenborg;0
Olympiacos;Real Madrid;0
Chelsea;Anderlecht;0
Real Betis;Liverpool;2
Liverpool;Chelsea;1
Anderlecht;Real Betis;2
Anderlecht;Liverpool;2
Chelsea;Real Betis;0
Liverpool;Anderlecht;0
Real Betis;Chelsea;0
Anderlecht;Chelsea;2
Liverpool;Real Betis;1
Chelsea;Liverpool;1
Real Betis;Anderlecht;2
Rangers;Porto;0
Artmedia;Internazionale;2
Internazionale;Rangers;0
Porto;Artmedia;2
Porto;Internazionale;0
Rangers;Artmedia;1
Internazionale;Porto;0
Artmedia;Rangers;1
Porto;Rangers;1
Internazionale;Artmedia;0
Rangers;Internazionale;1
Artmedia;Porto;1
Chelsea;Werder Bremen;0
Barcelona;Levski Sofia;0
Levski Sofia;Chelsea;2
Werder Bremen;Barcelona;1
Werder Bremen;Levski Sofia;0
Chelsea;Barcelona;0
Levski Sofia;Werder Bremen;2
Barcelona;Chelsea;1
Werder Bremen;Chelsea;0
Levski Sofia;Barcelona;2
Chelsea;Levski Sofia;0
Barcelona;Werder Bremen;0
Sporting CP;Internazionale;0
Bayern Munich;Spartak Moscow;0
Spartak Moscow;Sporting CP;1
Internazionale;Bayern Munich;2
Internazionale;Spartak Moscow;0
Sporting CP;Bayern Munich;2
Spartak Moscow;Internazionale;2
